Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Heikki Kovalainen,5,Lewis Hamilton,1
Ferrari,2,6,Kimi Räikkönen,6,Felipe Massa,3
BMW Sauber,3,4,Robert Kubica,7,Nick Heidfeld,4
Renault,4,3,Fernando Alonso,11,Nelson Piquet Jr.,2
Toro Rosso,5,2,Sébastien Bourdais,12,Sebastian Vettel,8
Williams,6,1,Kazuki Nakajima,14,Nico Rosberg,10
Force India,7,0,Giancarlo Fisichella,16,Adrian Sutil,15
Toyota,8,0,,,Jarno Trulli,9
Red Bull,9,0,,,David Coulthard,13
Honda,10,0,,,Jenson Button,17
