Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Alexander Albon,3,Max Verstappen,2
McLaren,2,6,Carlos Sainz Jr.,5,Lando Norris,4
Mercedes,3,4,Valtteri Bottas,8,Lewis Hamilton,1
Renault,4,3,Esteban Ocon,9,Daniel Ricciardo,7
AlphaTauri,5,2,Daniil Kvyat,11,Pierre Gasly,6
Ferrari,6,1,Sebastian Vettel,13,Charles Leclerc,10
Williams,7,0,Nicholas Latifi,14,George Russell,12
Alfa Romeo,8,0,Antonio Giovinazzi,16,Kimi Räikkönen,15
Haas,9,0,,,Kevin Magnussen,17
Racing Point,10,0,,,Sergio Pérez,18
