Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Alexander Albon,5,Max Verstappen,2
Racing Point,3,4,Sergio Pérez,7,Lance Stroll,4
Ferrari,4,3,Charles Leclerc,11,Sebastian Vettel,6
McLaren,5,2,Lando Norris,13,Carlos Sainz Jr.,9
Renault,6,1,Esteban Ocon,14,Daniel Ricciardo,8
Haas,7,0,Romain Grosjean,16,Kevin Magnussen,10
Alfa Romeo,8,0,Antonio Giovinazzi,17,Kimi Räikkönen,15
Williams,9,0,Nicholas Latifi,19,George Russell,18
AlphaTauri,10,0,,,Daniil Kvyat,12
