Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Esteban Ocon,6,Daniel Ricciardo,4
Red Bull,2,6,Alexander Albon,8,Max Verstappen,2
Ferrari,3,4,Sebastian Vettel,10,Charles Leclerc,3
Mercedes,4,3,Valtteri Bottas,11,Lewis Hamilton,1
McLaren,5,2,Carlos Sainz Jr.,13,Lando Norris,5
Williams,6,1,Nicholas Latifi,15,George Russell,12
Alfa Romeo,7,0,Kimi Räikkönen,17,Antonio Giovinazzi,14
AlphaTauri,8,0,,,Pierre Gasly,7
Racing Point,9,0,,,Lance Stroll,9
Haas,10,0,,,Romain Grosjean,16
