Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Valtteri Bottas,1
Renault,2,6,Esteban Ocon,7,Daniel Ricciardo,5
AlphaTauri,3,4,Pierre Gasly,9,Daniil Kvyat,8
Red Bull,4,3,Alexander Albon,10,Max Verstappen,2
Ferrari,5,2,Sebastian Vettel,13,Charles Leclerc,6
Alfa Romeo,6,1,Kimi Räikkönen,14,Antonio Giovinazzi,11
Haas,7,0,Romain Grosjean,17,Kevin Magnussen,12
Williams,8,0,George Russell,18,Nicholas Latifi,16
Racing Point,9,0,,,Sergio Pérez,4
McLaren,10,0,,,Lando Norris,15
