Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Racing Point,1,9,Lance Stroll,3,Sergio Pérez,1
Renault,2,6,Daniel Ricciardo,5,Esteban Ocon,2
Mercedes,3,4,George Russell,9,Valtteri Bottas,8
McLaren,4,3,Lando Norris,10,Carlos Sainz Jr.,4
AlphaTauri,5,2,Pierre Gasly,11,Daniil Kvyat,7
Alfa Romeo,6,1,Kimi Räikkönen,14,Antonio Giovinazzi,13
Haas,7,0,Pietro Fittipaldi,17,Kevin Magnussen,15
Red Bull,8,0,,,Alexander Albon,6
Ferrari,9,0,,,Sebastian Vettel,12
Williams,10,0,,,Jack Aitken,16
