Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Racing Point,2,6,Sergio Pérez,5,Lance Stroll,4
Red Bull,3,4,Alexander Albon,8,Max Verstappen,2
McLaren,4,3,Lando Norris,10,Carlos Sainz Jr.,6
AlphaTauri,5,2,Daniil Kvyat,12,Pierre Gasly,9
Renault,6,1,Esteban Ocon,13,Daniel Ricciardo,11
Alfa Romeo,7,0,Antonio Giovinazzi,16,Kimi Räikkönen,14
Williams,8,0,Nicholas Latifi,18,George Russell,17
Haas,9,0,Romain Grosjean,19,Kevin Magnussen,15
Ferrari,10,0,,,Sebastian Vettel,7
