Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,4,Sebastian Vettel,3
Red Bull,2,6,Alexander Albon,7,Max Verstappen,6
McLaren,3,4,Lando Norris,8,Carlos Sainz Jr.,5
Racing Point,4,3,Lance Stroll,9,Sergio Pérez,2
Renault,5,2,Esteban Ocon,11,Daniel Ricciardo,10
AlphaTauri,6,1,Pierre Gasly,13,Daniil Kvyat,12
Mercedes,7,0,Valtteri Bottas,14,Lewis Hamilton,1
Alfa Romeo,8,0,,,Kimi Räikkönen,15
Williams,9,0,,,George Russell,16
Haas,10,0,,,Kevin Magnussen,17
