Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Racing Point,1,9,Nico Hülkenberg,8,Sergio Pérez,4
Ferrari,2,6,Sebastian Vettel,11,Charles Leclerc,7
Alfa Romeo,3,4,Kimi Räikkönen,12,Antonio Giovinazzi,10
Haas,4,3,Kevin Magnussen,13,Romain Grosjean,9
AlphaTauri,5,2,Daniil Kvyat,15,Pierre Gasly,6
Mercedes,6,1,,,Lewis Hamilton,1
Red Bull,7,0,,,Max Verstappen,2
Renault,8,0,,,Daniel Ricciardo,3
McLaren,9,0,,,Carlos Sainz Jr.,5
Williams,10,0,,,Nicholas Latifi,14
