Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Kimi Räikkönen,3,Juan Pablo Montoya,1
Renault,2,6,Giancarlo Fisichella,4,Fernando Alonso,2
Ferrari,3,4,Rubens Barrichello,7,Michael Schumacher,6
Toyota,4,3,Jarno Trulli,9,Ralf Schumacher,8
Williams,5,2,Nick Heidfeld,12,Mark Webber,11
Sauber,6,1,Jacques Villeneuve,14,Felipe Massa,10
Red Bull,7,0,Christian Klien,15,David Coulthard,13
BAR,8,0,Takuma Sato,16,Jenson Button,5
Minardi,9,0,Patrick Friesacher,19,Christijan Albers,18
Jordan,10,0,,,Tiago Monteiro,17
