Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Michael Schumacher,5,Rubens Barrichello,3
Renault,2,6,Giancarlo Fisichella,6,Fernando Alonso,1
Red Bull,3,4,Vitantonio Liuzzi,9,David Coulthard,4
McLaren,4,3,Kimi Räikkönen,11,Juan Pablo Montoya,7
BAR,5,2,Takuma Sato,12,Jenson Button,10
Sauber,6,1,Felipe Massa,14,Jacques Villeneuve,13
Jordan,7,0,Narain Karthikeyan,16,Tiago Monteiro,15
Minardi,8,0,Patrick Friesacher,18,Christijan Albers,17
Williams,9,0,,,Nick Heidfeld,2
Toyota,10,0,,,Jarno Trulli,8
