Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,4,Fernando Alonso,1
Red Bull,2,6,Christian Klien,9,David Coulthard,7
Ferrari,3,4,Rubens Barrichello,10,Michael Schumacher,5
BAR,4,3,Takuma Sato,12,Jenson Button,3
Toyota,5,2,Jarno Trulli,14,Ralf Schumacher,6
Sauber,6,1,Jacques Villeneuve,15,Felipe Massa,8
Jordan,7,0,Tiago Monteiro,17,Narain Karthikeyan,16
Minardi,8,0,Robert Doornbos,18,Christijan Albers,13
McLaren,9,0,,,Juan Pablo Montoya,2
Williams,10,0,,,Nick Heidfeld,11
