Pilote,Rang,Points,ABUR,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,GERR,GRER,HUNR,INDR,ITAR,JAPR,KORR,MALR,MONR,SINR,SPAR,UNIR
Lewis Hamilton,1,321,25,25,18,4,25,18,18,18,4,4,25,15,25,2,15,25,12,25,0,18
Sebastian Vettel,2,264,0,8,25,,12,25,,25,18,12,15,25,8,25,18,8,,15,,25
Mark Webber,3,227,18,10,15,6,15,12,6,,15,18,,18,,18,25,12,18,6,,15
Jenson Button,4,187,10,18,12,25,18,1,8,2,6,,12,12,18,15,,18,,12,,
Fernando Alonso,5,164,8,,,8,4,15,2,,25,25,8,10,1,6,12,2,8,10,18,2
Kimi Räikkönen,6,125,12,,,12,2,,10,10,1,8,10,6,4,4,10,10,4,,12,10
Romain Grosjean,7,124,2,15,6,2,,6,,12,,,18,,,10,6,6,10,4,15,12
Pastor Maldonado,8,123,15,4,,15,8,,,15,8,6,4,2,,,,,2,18,25,1
Michael Schumacher,9,115,,12,,,,2,15,,12,15,,,10,,1,15,25,,,8
Nico Rosberg,10,101,6,6,10,,1,10,25,8,,,,,6,,2,4,15,,8,
Felipe Massa,11,81,4,,,,10,8,,,,10,6,8,15,,8,,6,,,6
Kamui Kobayashi,12,50,,,,18,,,12,6,,,,,2,12,,,,,,
Sergio Pérez,13,41,,,4,10,,,4,,,,,4,,8,,1,,,10,
Nico Hülkenberg,14,33,,2,,,6,,,4,10,2,1,,,,4,,,,,4
Paul di Resta,15,28,,,,1,,4,,1,2,,,,12,,,,,8,,
Daniel Ricciardo,16,8,,,8,,,,,,,,,,,,,,,,,
Bruno Senna,17,2,,,,,,,,,,,2,,,,,,,,,
