Pilote,Rang,Points,ARGR,FRAR,GERR,GRER,INDR,ITAR,MONR,PESR
Juan Manuel Fangio,1,142,18,25,25,12,,12,25,25
Stirling Moss,2,107,25,,6,25,,18,15,18
Jean Behra,3,88,15,18,15,18,,10,,12
Peter Collins,4,60,10,10,12,4,,6,18,
Tony Brooks,5,60,,,10,15,,15,12,8
Mike Hawthorn,6,51,6,6,18,10,,1,10,
Harry Schell,7,50,2,12,8,6,,8,4,10
Luigi Musso,8,45,8,15,4,1,,2,,15
Stuart Lewis-Evans,9,40,,1,2,8,,25,0,4
Pat O'Connor,10,25,,,,,25,,,
Eddie Sachs,11,18,,,,,18,,,
Troy Ruttman,12,15,,,,,15,,,
Maurice Trintignant,13,14,,4,,2,,,8,
Eugenio Castellotti,14,12,12,,,,,,,
Carlos Menditéguy,15,12,4,2,,0,,,6,
Fred Agabashian,16,12,,,,,12,,,
Johnny Boyd,17,10,,,,,10,,,
Masten Gregory,18,8,,,1,,,0,1,6
Roy Salvadori,19,8,,8,0,0,,,0,0
Jimmy Reece,20,8,,,,,8,,,
Wolfgang von Trips,21,6,,,,,,4,2,
Ed Elisian,22,6,,,,,6,,,
Al Keller,23,4,,,,,4,,,
Jo Bonnier,24,2,0,,,0,,0,,2
Elmer George,25,2,,,,,2,,,
Alfonso de Portago,26,1,1,,,,,,,
Giorgio Scarlatti,27,1,,,0,,,0,0,1
Paul Russo,28,1,,,,,1,,,
Cesare Perdisa,29,0,0,,,,,,,
Alejandro de Tomaso,30,0,0,,,,,,,
Luigi Piotti,31,0,0,,,,,0,0,0
Ron Flockhart,32,0,,0,,,,,0,
Horace Gould,33,0,,0,0,0,,0,0,0
Jack Brabham,34,0,,0,0,0,,,0,0
Ivor Bueb,35,0,,,,0,,,0,
Hans Herrmann,36,0,,,0,,,,0,
André Simon,37,0,,,,,,0,0,
Les Leston,38,0,,,,0,,,0,
Johnny Thomson,39,0,,,,,0,,,
Andy Linden,40,0,,,,,0,,,
Sam Hanks,41,0,,,,,0,,,
Gene Hartley,42,0,,,,,0,,,
Jimmy Bryan,43,0,,,,,0,,,
Bob Veith,44,0,,,,,0,,,
Johnnie Parsons,45,0,,,,,0,,,
Mike Magill,46,0,,,,,0,,,
Jack Turner,47,0,,,,,0,,,
Eddie Johnson,48,0,,,,,0,,,
Don Freeland,49,0,,,,,0,,,
Tony Bettenhausen,50,0,,,,,0,,,
Bill Cheesbourg,51,0,,,,,0,,,
Rodger Ward,52,0,,,,,0,,,
Chuck Weyant,53,0,,,,,0,,,
Eddie Russo,54,0,,,,,0,,,
Don Edmunds,55,0,,,,,0,,,
Marshall Teague,56,0,,,,,0,,,
Jimmy Daywalt,57,0,,,,,0,,,
Al Herman,58,0,,,,,0,,,
Johnnie Tolan,59,0,,,,,0,,,
Jim Rathmann,60,0,,,,,0,,,
Bob Christie,61,0,,,,,0,,,
Herbert MacKay-Fraser,62,0,,0,,,,,,
Mike MacDowel,63,0,,0,,,,,,
Jack Fairman,64,0,,,,0,,,,
Bob Gerard,65,0,,,,0,,,,
Edgar Barth,66,0,,,0,,,,,
Umberto Maglioli,67,0,,,0,,,,,
Bruce Halford,68,0,,,0,,,0,,0
Brian Naylor,69,0,,,0,,,,,
Carel Godin de Beaufort,70,0,,,0,,,,,
Paco Godia,71,0,,,0,,,0,,0
Tony Marsh,72,0,,,0,,,,,
Paul England,73,0,,,0,,,,,
Dick Gibson,74,0,,,0,,,,,
