Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Brabham,1,9,Hans-Joachim Stuck,10,John Watson,5
McLaren,2,6,Brett Lunger,11,Jochen Mass,2
Hesketh,3,4,Harald Ertl,16,Rupert Keegan,13
Shadow,4,3,Alan Jones,17,Jackie Oliver,9
Lotus,5,2,Gunnar Nilsson,19,Mario Andretti,6
Ligier,6,1,,,Jacques Laffite,1
Ferrari,7,0,,,Carlos Reutemann,3
Tyrrell,8,0,,,Patrick Depailler,4
Ensign,9,0,,,Clay Regazzoni,7
Penske,10,0,,,Jean-Pierre Jarier,8
LEC,11,0,,,David Purley,14
March,12,0,,,Patrick Nève,15
Fittipaldi,13,0,,,Emerson Fittipaldi,18
