Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Carlos Reutemann,6,Niki Lauda,4
McLaren,2,6,Brett Lunger,10,James Hunt,1
Tyrrell,3,4,Ronnie Peterson,16,Patrick Depailler,14
Hesketh,4,3,Ian Ashley,17,Rupert Keegan,8
March,5,2,Patrick Nève,18,Alex Ribeiro,15
Surtees,6,1,Vittorio Brambilla,19,Hans Binder,11
Lotus,7,0,,,Mario Andretti,2
Wolf,8,0,,,Jody Scheckter,3
Ensign,9,0,,,Clay Regazzoni,5
Ligier,10,0,,,Jacques Laffite,7
Shadow,11,0,,,Jean-Pierre Jarier,9
Brabham,12,0,,,John Watson,12
Fittipaldi,13,0,,,Emerson Fittipaldi,13
