Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Carlos Reutemann,4,Niki Lauda,2
Brabham,2,6,John Watson,8,Hans-Joachim Stuck,3
McLaren,3,4,Brett Lunger,10,Jochen Mass,6
Tyrrell,4,3,Patrick Depailler,13,Ronnie Peterson,5
Penske,5,2,Jean-Pierre Jarier,14,Hans Binder,12
Surtees,6,1,Vern Schuppan,16,Vittorio Brambilla,15
Shadow,7,0,,,Alan Jones,1
Hesketh,8,0,,,Rupert Keegan,7
March,9,0,,,Patrick Nève,9
Fittipaldi,10,0,,,Emerson Fittipaldi,11
