Pilote,Rang,Points,CANR,FRAR,GERR,GRER,ITAR,MEXR,MONR,NETR,SOUR,SPAR,UNIR
Jochen Rindt,1,196,15,15,15,25,25,8,,25,18,25,25
Jackie Stewart,2,185,12,25,18,18,15,15,25,18,12,12,15
Denny Hulme,3,126,10,18,10,15,18,12,0,6,15,4,18
Jacky Ickx,4,118,25,12,25,12,0,18,6,10,0,6,4
Jack Brabham,5,83,8,,,,6,25,4,4,25,10,1
Chris Amon,6,76,,8,,10,,,18,12,10,18,
Graham Hill,7,74,6,4,2,0,2,,12,15,6,15,12
Jo Siffert,8,63,4,2,12,2,4,10,10,1,0,8,10
Jean-Pierre Beltoise,9,62,18,10,1,0,8,4,15,0,0,0,6
Bruce McLaren,10,54,2,6,4,6,10,6,0,8,4,0,8
Piers Courage,11,28,1,0,6,1,12,2,2,2,,0,2
John Surtees,12,20,0,,0,8,1,1,8,0,0,2,0
Vic Elford,13,9,,1,8,0,,,0,0,,,
Mario Andretti,14,8,,,0,,,,,,8,,0
Pedro Rodríguez,15,4,0,,,4,0,0,0,,0,0,0
Basil van Rooyen,16,2,,,,,,,,,2,,
John Love,17,1,,,,,,,,,1,,
Jackie Oliver,18,1,0,,0,0,0,0,0,0,0,1,0
Richard Attwood,19,1,,,0,,,,1,,,,
Peter de Klerk,20,0,,,,,,,,,0,,
Sam Tingle,21,0,,,,,,,,,0,,
Silvio Moser,22,0,0,0,,,0,0,0,0,,,0
John Miles,23,0,0,0,,0,0,0,,,,,
Derek Bell,24,0,,,,0,,,,,,,
Jo Bonnier,25,0,,,0,0,,,,,,,
Johnny Servoz-Gavin,26,0,0,,0,,,0,,,,,0
François Cevert,27,0,,,0,,,,,,,,
Henri Pescarolo,28,0,,,0,,,,,,,,
Hubert Hahne,29,0,,,0,,,,,,,,
Peter Westbury,30,0,,,0,,,,,,,,
"Kurt Ahrens, Jr.",31,0,,,0,,,,,,,,
Dieter Quester,32,0,,,0,,,,,,,,
Rolf Stommelen,33,0,,,0,,,,,,,,
Xavier Perrot,34,0,,,0,,,,,,,,
Gerhard Mitter,35,0,,,0,,,,,,,,
Hans Herrmann,36,0,,,0,,,,,,,,
Ernesto Brambilla,37,0,,,,,0,,,,,,
Pete Lovely,38,0,0,,,,,0,,,,,0
Al Pease,39,0,0,,,,,,,,,,
Bill Brack,40,0,0,,,,,,,,,,
John Cordts,41,0,0,,,,,,,,,,
George Eaton,42,0,,,,,,0,,,,,0
