Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Nico Rosberg,1
Red Bull,2,6,Daniel Ricciardo,5,Daniil Kvyat,4
Ferrari,3,4,Kimi Räikkönen,6,Sebastian Vettel,2
Force India,4,3,Nico Hülkenberg,11,Sergio Pérez,7
Sauber,5,2,Marcus Ericsson,13,Felipe Nasr,9
Williams,6,1,Felipe Massa,15,Valtteri Bottas,14
Marussia,7,0,Will Stevens,17,Roberto Merhi,16
McLaren,8,0,,,Jenson Button,8
Toro Rosso,9,0,,,Carlos Sainz Jr.,10
Lotus,10,0,,,Romain Grosjean,12
