Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,8,Sebastian Vettel,2
McLaren,2,6,Fernando Alonso,11,Jenson Button,9
Williams,3,4,Valtteri Bottas,12,Felipe Massa,4
Marussia,4,3,Will Stevens,14,Roberto Merhi,13
Red Bull,5,2,Daniel Ricciardo,15,Daniil Kvyat,5
Mercedes,6,1,,,Lewis Hamilton,1
Force India,7,0,,,Sergio Pérez,3
Sauber,8,0,,,Felipe Nasr,6
Lotus,9,0,,,Pastor Maldonado,7
Toro Rosso,10,0,,,Max Verstappen,10
