Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Mika Häkkinen,4,David Coulthard,3
Ferrari,2,6,Rubens Barrichello,5,Michael Schumacher,1
Williams,3,4,Ralf Schumacher,6,Juan Pablo Montoya,2
BAR,4,3,Olivier Panis,13,Jacques Villeneuve,10
Arrows,5,2,Jos Verstappen,15,Enrique Bernoldi,14
Minardi,6,1,Alex Yoong,16,Fernando Alonso,11
Benetton,7,0,Giancarlo Fisichella,17,Jenson Button,7
Jordan,8,0,,,Jarno Trulli,8
Sauber,9,0,,,Nick Heidfeld,9
Prost,10,0,,,Heinz-Harald Frentzen,12
