Équipe,Rang,Points,BRA,PAC,SAN,MON,SPA,CAN,FRA,GRE,GER,HUN,BEL,ITA,POR,EUR,JAP,AUS
Williams,1,69,4,,0,,6,6,4,9,2,3,9,6,9,0,9,2
Ligier,2,60,0,6,3,0,9,2,,6,9,4,4,4,0,9,0,4
Ferrari,3,57,3,3,1,9,2,9,3,3,3,0,,3,,6,3,9
Benetton,4,47,6,4,2,6,4,4,6,0,,9,2,0,0,0,4,
McLaren,5,34,,,6,3,0,,,2,,2,3,9,6,0,0,3
Lotus,6,27,9,9,0,0,0,1,1,0,,0,0,,1,0,6,
Sauber,7,25,0,0,9,,,,9,0,,,,,,0,1,6
Jordan,8,20,2,2,,2,0,0,,1,,,0,2,4,4,2,1
Minardi,9,17,0,,,1,1,3,2,0,,0,6,,2,2,,0
Larrousse,10,15,0,0,,4,,,0,0,4,6,,1,0,,0,
Tyrrell,11,13,1,,4,,3,0,0,0,,1,1,,,3,,
Footwork,12,11,,1,0,,,,0,0,6,0,0,,3,1,0,0
Simtek,13,4,0,0,,,0,0,0,4,,0,0,,0,0,0,
