Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ligier,1,9,Olivier Panis,9,Johnny Herbert,8
Ferrari,2,6,Jean Alesi,10,Gerhard Berger,5
Jordan,3,4,Rubens Barrichello,12,Eddie Irvine,4
Tyrrell,4,3,Mark Blundell,13,Ukyo Katayama,7
Minardi,5,2,Pierluigi Martini,15,Michele Alboreto,14
Footwork,6,1,Christian Fittipaldi,17,Gianni Morbidelli,11
Lotus,7,0,Éric Bernard,18,Alex Zanardi,16
Benetton,8,0,,,Michael Schumacher,1
Williams,9,0,,,Damon Hill,2
McLaren,10,0,,,Mika Häkkinen,3
Sauber,11,0,,,Heinz-Harald Frentzen,6
Simtek,12,0,,,Domenico Schiattarella,19
