Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,David Coulthard,2,Damon Hill,1
McLaren,2,6,Martin Brundle,6,Mika Häkkinen,3
Jordan,3,4,Eddie Irvine,7,Rubens Barrichello,4
Footwork,4,3,Gianni Morbidelli,9,Christian Fittipaldi,8
Minardi,5,2,Michele Alboreto,13,Pierluigi Martini,12
Lotus,6,1,Philippe Adams,16,Johnny Herbert,11
Benetton,7,0,,,Jos Verstappen,5
Ligier,8,0,,,Éric Bernard,10
Larrousse,9,0,,,Yannick Dalmas,14
Simtek,10,0,,,Jean-Marc Gounon,15
