Pilote,Rang,Points,ABUR,AUSR,AZER,BAHR,BELR,CANR,EMIR,FRAR,GRER,HUNR,ITAR,JAPR,MEXR,MIAR,MONR,NETR,SAOR,SAUR,SINR,SPAR,UNIR
Max Verstappen,1,400,25,25,15,18,25,25,25,18,18,1,18,25,25,15,12,25,18,12,4,18,15
Charles Leclerc,2,396,15,18,25,25,12,,18,25,15,15,25,18,6,25,25,18,,18,25,25,18
Carlos Sainz Jr.,3,300,12,15,12,15,18,15,,,25,18,15,15,10,18,18,15,10,15,12,15,25
Sergio Pérez,4,251,18,15,18,12,15,,6,15,12,,12,12,12,12,15,10,2,25,18,10,12
Lewis Hamilton,5,178,10,2,6,10,6,12,,12,10,6,10,8,15,8,4,12,4,,15,8,10
George Russell,6,174,8,12,10,2,4,4,,8,4,25,8,4,18,,8,8,15,8,,12,8
Lando Norris,7,119,6,12,,,1,,15,10,8,12,6,1,4,4,10,6,12,,8,,4
Fernando Alonso,8,103,,4,1,4,8,18,10,6,6,8,,6,2,,6,,6,6,10,,2
Esteban Ocon,9,74,4,10,,,10,6,,,,10,,10,1,,1,,8,10,,,
Kevin Magnussen,10,68,,8,,6,,10,12,,,,,,,,,,25,1,2,4,
Valtteri Bottas,11,45,,,,8,,,4,,,4,,,8,10,,,,4,,6,1
Pierre Gasly,12,25,,,8,1,,,,,,,2,,,6,,,,2,6,,
Daniel Ricciardo,13,25,1,6,,,,2,8,,,2,4,,,,,,,,,2,
Mick Schumacher,14,19,,6,,,,8,,,,,,,,,,4,,,,1,
Yuki Tsunoda,15,13,,,4,,,,,4,,,,,,2,,2,,,1,,
Sebastian Vettel,16,10,2,,2,,,,2,,,,,2,,,2,,,,,,
Lance Stroll,17,7,,,,,,,,,,,,,,1,,,,,,,6
Guanyu Zhou,18,3,,,,,,1,,,2,,,,,,,,,,,,
Alexander Albon,19,2,,,,,2,,,,,,,,,,,,,,,,
Nicholas Latifi,20,1,,,,,,,,,1,,,,,,,,,,,,
