Pilote,Rang,Points,ABUR,AUSR,AZER,BAHR,BELR,BRAR,CANR,CHIR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MEXR,MONR,RUSR,SINR,SPAR,UNIR
Lewis Hamilton,1,381,25,18,18,15,15,15,18,18,25,25,18,15,18,12,12,25,18,18,18,10
Valtteri Bottas,2,342,18,12,25,12,12,10,8,25,18,15,25,18,15,15,8,18,10,10,25,25
Charles Leclerc,3,311,12,25,,25,25,12,15,12,15,,15,12,25,18,18,,25,25,10,12
Sebastian Vettel,4,285,10,15,15,18,18,18,25,15,6,,8,10,12,25,15,12,15,15,15,18
Max Verstappen,5,277,15,15,12,10,10,25,,10,12,18,12,25,,10,25,15,12,12,12,15
Pierre Gasly,6,80,,2,,,,6,10,8,2,12,10,8,,2,1,10,,,8,1
Carlos Sainz Jr.,7,68,2,,,6,,,2,,8,6,,4,6,6,6,2,8,6,,6
Lando Norris,8,67,6,8,6,1,,,4,,10,,4,6,,4,4,,4,2,,4
Daniel Ricciardo,9,60,4,,,,8,,12,6,4,,6,,10,,,6,1,,1,2
Alexander Albon,10,53,8,,,,,8,,,,,2,,,8,10,1,,8,,8
Kevin Magnussen,11,38,,10,,8,1,1,,,,,,,,,,8,,,4,
Nico Hülkenberg,12,38,1,,,,6,,6,4,,2,1,,8,,,,6,4,,
Romain Grosjean,13,35,,8,,4,,4,,,,8,,2,,1,,,2,,6,
Kimi Räikkönen,14,27,,6,,2,4,2,,,,10,,1,,,,,,,,
Sergio Pérez,15,17,,1,10,,2,,,,,4,,,,,,,,,,
Daniil Kvyat,16,16,,,8,,,,,,,,,,,,2,4,,,2,
Antonio Giovinazzi,17,9,,4,4,,,,,,1,,,,,,,,,,,
