Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,LUXR,MONR,SANR,SPAR
Mika Häkkinen,1,339,15,15,25,25,18,25,25,25,25,15,18,15,25,18,25
David Coulthard,2,265,25,0,18,18,25,15,18,12,18,12,15,10,18,25,18
Michael Schumacher,3,254,18,12,12,12,15,18,2,18,15,25,25,25,12,15,15
Eddie Irvine,4,148,12,4,10,8,4,12,8,10,10,10,12,18,6,12,8
Jacques Villeneuve,5,120,6,0,8,1,8,10,15,15,8,18,8,2,0,8,1
Giancarlo Fisichella,6,108,1,25,6,6,12,2,4,1,4,0,1,12,15,1,12
Heinz-Harald Frentzen,7,94,8,6,2,15,6,4,1,8,6,0,10,6,10,4,0
Ralf Schumacher,8,77,10,2,4,4,10,8,12,0,1,8,6,8,0,2,0
Damon Hill,9,68,2,0,15,0,1,6,10,6,12,0,4,1,0,6,4
Alexander Wurz,10,63,4,0,0,10,0,1,6,0,2,6,2,4,8,10,10
Jean Alesi,11,29,0,18,1,0,2,0,0,4,0,4,0,0,0,0,0
Johnny Herbert,12,20,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6
Rubens Barrichello,13,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2
Mika Salo,14,12,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0
Olivier Panis,15,5,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0
Jarno Trulli,16,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Toranosuke Takagi,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Tuero,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Magnussen,19,0,0,0,,0,0,,,,,,,,0,0,0
Ricardo Rosset,20,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Pedro Diniz,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinji Nakano,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jos Verstappen,23,0,,0,0,,,0,0,0,0,0,0,0,,,
