Équipe,Rang,Points,ARG,SOU,SPA,MON,BEL,FRA,GRE,GER,AUS,ITA,CAN,UNI
McLaren,1,69,2,9,1,2,9,6,9,0,9,9,9,4
March,2,46,6,6,2,4,6,0,6,4,2,4,3,3
Ferrari,3,45,9,4,9,1,,3,0,9,,0,4,6
Tyrrell,4,34,3,1,,0,2,9,2,2,4,,2,9
BRM,5,32,4,0,,9,4,0,0,3,6,6,0,
Brabham,6,32,0,2,3,6,0,4,4,6,,1,6,0
Lotus,7,22,,3,4,3,3,1,3,,1,3,0,1
Surtees,8,18,1,0,6,0,1,2,,1,3,2,0,2
Matra,9,2,,0,,0,0,0,1,0,0,,1,0
Eifelland,10,0,,0,,0,0,0,0,,0,,,
