Pilote,Rang,Points,ARGR,AUSR,BELR,CANR,FRAR,GERR,GRER,ITAR,MONR,SOUR,SPAR,UNIR
Emerson Fittipaldi,1,174,10,25,25,12,4,15,18,8,25,15,15,2
Jackie Stewart,2,169,18,15,,10,15,18,12,15,4,25,12,25
Jacky Ickx,3,158,4,2,12,4,12,25,25,25,18,6,25,0
Denny Hulme,4,129,12,6,15,18,18,1,0,10,6,10,18,15
Clay Regazzoni,5,113,8,18,18,6,,6,,12,15,18,4,8
Peter Revson,6,95,15,12,6,25,,,15,4,,0,0,18
Chris Amon,7,78,0,8,0,1,25,4,0,18,8,0,8,6
Carlos Reutemann,8,58,25,10,2,2,0,8,1,0,,0,,10
François Cevert,9,56,6,0,10,8,6,10,0,0,0,4,0,12
Ronnie Peterson,10,38,1,0,0,15,2,12,4,0,0,2,2,0
Jean-Pierre Beltoise,11,34,,0,8,0,0,0,8,0,12,0,6,0
Mario Andretti,12,27,2,,,,,,,6,,8,10,1
Tim Schenken,13,25,0,4,0,0,10,0,10,0,0,1,0,0
Mike Hailwood,14,25,,0,4,,1,0,6,2,0,12,0,0
Peter Gethin,15,10,0,0,0,0,0,,0,0,10,0,0,0
Helmut Marko,16,8,0,,0,,8,,,,0,0,,
Henri Pescarolo,17,4,0,0,0,0,0,2,0,0,2,0,0,0
Jody Scheckter,18,4,,,,,,,,,,,,4
Reine Wisell,19,2,0,,,0,0,0,,1,0,,1,0
Arturo Merzario,20,2,,,,,,0,2,,,,,
Howden Ganley,21,1,0,1,0,0,0,0,,0,0,0,0,0
Andrea de Adamich,22,1,0,0,1,0,0,0,0,0,0,0,0,0
Brian Redman,23,1,,,,,0,0,,,1,,,0
Graham Hill,24,0,0,0,0,0,0,0,0,0,0,0,0,0
David Walker,25,0,0,0,0,,0,0,0,,0,0,0,0
Alex Soler-Roig,26,0,0,,,,,,,,,,0,
Niki Lauda,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Charlton,28,0,,,,,0,0,0,,,0,,
Carlos Pace,29,0,,0,0,0,0,0,0,0,0,0,0,0
Rolf Stommelen,30,0,,0,0,,0,0,0,,0,0,0,
John Love,31,0,,,,,,,,,,0,,
William Ferguson,32,0,,,,,,,,,,0,,
Wilson Fittipaldi,33,0,,0,0,0,0,0,0,0,0,,0,0
Mike Beuttler,34,0,,0,0,0,0,0,0,0,0,,0,0
Nanni Galli,35,0,,0,0,,0,,0,0,,,,
Vern Schuppan,36,0,,,0,,,,,,,,,
Patrick Depailler,37,0,,,,,0,,,,,,,0
Derek Bell,38,0,,,,0,0,0,,0,,,,0
Jackie Oliver,39,0,,,,,,,0,,,,,
François Migault,40,0,,0,,,,,0,,,,,
John Surtees,41,0,,,,,,,,0,,,,0
Skip Barber,42,0,,,,0,,,,,,,,0
Bill Brack,43,0,,,,0,,,,,,,,
Sam Posey,44,0,,,,,,,,,,,,0
