Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,2,Carlos Sainz Jr.,1
McLaren,2,6,Oscar Piastri,4,Lando Norris,3
Aston Martin,3,4,Fernando Alonso,8,Lance Stroll,6
Haas,4,3,Kevin Magnussen,10,Nico Hülkenberg,9
RB,5,2,Daniel Ricciardo,12,Yuki Tsunoda,7
Kick Sauber,6,1,Guanyu Zhou,15,Valtteri Bottas,14
Alpine,7,0,Esteban Ocon,16,Pierre Gasly,13
Red Bull,8,0,,,Sergio Pérez,5
Williams,9,0,,,Alexander Albon,11
Mercedes,10,0,,,George Russell,17
