Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lando Norris,4,Oscar Piastri,1
Williams,2,6,Franco Colapinto,8,Alexander Albon,7
Mercedes,3,4,Lewis Hamilton,9,George Russell,3
Haas,4,3,Nico Hülkenberg,11,Oliver Bearman,10
Alpine,5,2,Esteban Ocon,15,Pierre Gasly,12
Kick Sauber,6,1,Valtteri Bottas,16,Guanyu Zhou,14
Red Bull,7,0,Sergio Pérez,17,Max Verstappen,5
Ferrari,8,0,Carlos Sainz Jr.,18,Charles Leclerc,2
Aston Martin,9,0,Lance Stroll,19,Fernando Alonso,6
RB,10,0,,,Daniel Ricciardo,13
