Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,3,Carlos Sainz Jr.,2
Mercedes,2,6,George Russell,5,Lewis Hamilton,4
McLaren,3,4,Oscar Piastri,10,Lando Norris,1
Aston Martin,4,3,Lance Stroll,14,Fernando Alonso,9
Alpine,5,2,Jack Doohan,15,Pierre Gasly,7
Haas,6,1,Kevin Magnussen,16,Nico Hülkenberg,8
RB,7,0,Liam Lawson,17,Yuki Tsunoda,12
Red Bull,8,0,,,Max Verstappen,6
Williams,9,0,,,Alexander Albon,11
Kick Sauber,10,0,,,Guanyu Zhou,13
