Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lando Norris,5,Oscar Piastri,2
Ferrari,2,6,Carlos Sainz Jr.,6,Charles Leclerc,3
Red Bull,3,4,Sergio Pérez,7,Max Verstappen,4
Aston Martin,4,3,Lance Stroll,11,Fernando Alonso,8
Alpine,5,2,Pierre Gasly,13,Esteban Ocon,9
RB,6,1,Yuki Tsunoda,16,Daniel Ricciardo,10
Williams,7,0,Logan Sargeant,17,Alexander Albon,12
Haas,8,0,Nico Hülkenberg,18,Kevin Magnussen,14
Mercedes,9,0,,,Lewis Hamilton,1
Kick Sauber,10,0,,,Valtteri Bottas,15
