Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,2,Max Verstappen,1
Ferrari,2,6,Oliver Bearman,7,Charles Leclerc,3
McLaren,3,4,Lando Norris,8,Oscar Piastri,4
Mercedes,4,3,Lewis Hamilton,9,George Russell,6
Haas,5,2,Kevin Magnussen,12,Nico Hülkenberg,10
Williams,6,1,Logan Sargeant,14,Alexander Albon,11
RB,7,0,Daniel Ricciardo,16,Yuki Tsunoda,15
Kick Sauber,8,0,Guanyu Zhou,18,Valtteri Bottas,17
Aston Martin,9,0,,,Fernando Alonso,5
Alpine,10,0,,,Esteban Ocon,13
