Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lando Norris,2,Oscar Piastri,1
Ferrari,2,6,Carlos Sainz Jr.,6,Charles Leclerc,4
Red Bull,3,4,Sergio Pérez,7,Max Verstappen,5
Mercedes,4,3,George Russell,8,Lewis Hamilton,3
Aston Martin,5,2,Fernando Alonso,11,Lance Stroll,10
RB,6,1,Daniel Ricciardo,12,Yuki Tsunoda,9
Haas,7,0,Kevin Magnussen,15,Nico Hülkenberg,13
Williams,8,0,Logan Sargeant,17,Alexander Albon,14
Kick Sauber,9,0,Guanyu Zhou,19,Valtteri Bottas,16
Alpine,10,0,,,Esteban Ocon,18
