Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Oscar Piastri,4,Lando Norris,3
Aston Martin,2,6,Fernando Alonso,8,Lance Stroll,7
Williams,3,4,Logan Sargeant,11,Alexander Albon,9
Haas,4,3,Kevin Magnussen,12,Nico Hülkenberg,6
RB,5,2,Daniel Ricciardo,13,Yuki Tsunoda,10
Ferrari,6,1,Charles Leclerc,14,Carlos Sainz Jr.,5
Red Bull,7,0,Sergio Pérez,17,Max Verstappen,2
Kick Sauber,8,0,Guanyu Zhou,18,Valtteri Bottas,15
Mercedes,9,0,,,Lewis Hamilton,1
Alpine,10,0,,,Esteban Ocon,16
