Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,2,George Russell,1
Ferrari,2,6,Charles Leclerc,4,Carlos Sainz Jr.,3
McLaren,3,4,Oscar Piastri,7,Lando Norris,6
Red Bull,4,3,Sergio Pérez,10,Max Verstappen,5
Haas,5,2,Kevin Magnussen,12,Nico Hülkenberg,8
Aston Martin,6,1,Lance Stroll,15,Fernando Alonso,11
RB,7,0,Liam Lawson,16,Yuki Tsunoda,9
Kick Sauber,8,0,Valtteri Bottas,18,Guanyu Zhou,13
Williams,9,0,,,Franco Colapinto,14
Alpine,10,0,,,Esteban Ocon,17
