Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,2,Max Verstappen,1
Ferrari,2,6,Charles Leclerc,4,Carlos Sainz Jr.,3
McLaren,3,4,Oscar Piastri,8,Lando Norris,5
Mercedes,4,3,Lewis Hamilton,9,George Russell,7
Aston Martin,5,2,Lance Stroll,12,Fernando Alonso,6
Haas,6,1,Kevin Magnussen,13,Nico Hülkenberg,11
Alpine,7,0,Pierre Gasly,16,Esteban Ocon,15
RB,8,0,,,Yuki Tsunoda,10
Kick Sauber,9,0,,,Valtteri Bottas,14
Williams,10,0,,,Logan Sargeant,17
