Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,René Arnoux,3,Alain Prost,1
Williams,2,6,Keke Rosberg,5,Carlos Reutemann,2
McLaren,3,4,John Watson,6,Niki Lauda,4
ATS,4,3,Manfred Winkelhock,10,Eliseo Salazar,9
Alfa Romeo,5,2,Andrea de Cesaris,13,Bruno Giacomelli,11
March,6,1,Raul Boesel,15,Jochen Mass,12
Tyrrell,7,0,Slim Borgudd,16,Michele Alboreto,7
Lotus,8,0,,,Elio de Angelis,8
Theodore,9,0,,,Derek Daly,14
Fittipaldi,10,0,,,Chico Serra,17
Ferrari,11,0,,,Didier Pironi,18
