Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Riccardo Patrese,3,Nigel Mansell,1
Ferrari,2,6,Jean Alesi,4,Alain Prost,2
Benetton,3,4,Nelson Piquet,11,Michael Schumacher,6
Minardi,4,3,Gianni Morbidelli,14,Pierluigi Martini,13
Dallara,5,2,Emanuele Pirro,15,JJ Lehto,8
Tyrrell,6,1,Satoru Nakajima,17,Stefano Modena,16
McLaren,7,0,,,Ayrton Senna,5
Leyton House,8,0,,,Maurício Gugelmin,7
Jordan,9,0,,,Alex Zanardi,9
Brabham,10,0,,,Martin Brundle,10
Fondmetal,11,0,,,Gabriele Tarquini,12
