Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Gerhard Berger,4,Ayrton Senna,2
Benetton,2,6,Nelson Piquet,6,Michael Schumacher,5
Brabham,3,4,Martin Brundle,13,Mark Blundell,12
Leyton House,4,3,Maurício Gugelmin,15,Ivan Capelli,8
Williams,5,2,,,Nigel Mansell,1
Ferrari,6,1,,,Alain Prost,3
Jordan,7,0,,,Andrea de Cesaris,7
Minardi,8,0,,,Gianni Morbidelli,9
Dallara,9,0,,,Emanuele Pirro,10
Ligier,10,0,,,Érik Comas,11
Lotus,11,0,,,Mika Häkkinen,14
Modena,12,0,,,Nicola Larini,16
