Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Riccardo Patrese,3,Nigel Mansell,2
McLaren,2,6,Gerhard Berger,4,Ayrton Senna,1
Jordan,3,4,Bertrand Gachot,9,Andrea de Cesaris,7
Leyton House,4,3,Maurício Gugelmin,11,Ivan Capelli,6
Tyrrell,5,2,Satoru Nakajima,15,Stefano Modena,12
Ligier,6,1,Thierry Boutsen,17,Érik Comas,10
Ferrari,7,0,,,Jean Alesi,5
Benetton,8,0,,,Roberto Moreno,8
Minardi,9,0,,,Gianni Morbidelli,13
Lotus,10,0,,,Mika Häkkinen,14
Modena,11,0,,,Nicola Larini,16
