Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Alain Prost,2,Ayrton Senna,1
Ferrari,2,6,Michele Alboreto,4,Gerhard Berger,3
March,3,4,Maurício Gugelmin,8,Ivan Capelli,5
Arrows,4,3,Eddie Cheever,10,Derek Warwick,7
Zakspeed,5,2,Piercarlo Ghinzani,14,Bernd Schneider,12
Benetton,6,1,Alessandro Nannini,18,Thierry Boutsen,6
Lotus,7,0,,,Satoru Nakajima,9
Tyrrell,8,0,,,Jonathan Palmer,11
Rial,9,0,,,Andrea de Cesaris,13
Dallara,10,0,,,Alex Caffi,15
EuroBrun,11,0,,,Oscar Larrauri,16
Ligier,12,0,,,René Arnoux,17
Lola,13,0,,,Yannick Dalmas,19
