Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Ayrton Senna,2,Alain Prost,1
Ferrari,2,6,Gerhard Berger,4,Michele Alboreto,3
Lotus,3,4,Satoru Nakajima,7,Nelson Piquet,5
March,4,3,Ivan Capelli,9,Maurício Gugelmin,8
Benetton,5,2,,,Alessandro Nannini,6
Rial,6,1,,,Andrea de Cesaris,10
Arrows,7,0,,,Eddie Cheever,11
Dallara,8,0,,,Alex Caffi,12
Lola,9,0,,,Yannick Dalmas,13
EuroBrun,10,0,,,Stefano Modena,14
Minardi,11,0,,,Pierluigi Martini,15
