Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Arrows,1,9,Eddie Cheever,7,Derek Warwick,6
Williams,2,6,Riccardo Patrese,8,Nigel Mansell,2
Lotus,3,4,Satoru Nakajima,10,Nelson Piquet,5
Lola,4,3,Philippe Alliot,14,Yannick Dalmas,13
Ferrari,5,2,Michele Alboreto,17,Gerhard Berger,9
McLaren,6,1,,,Ayrton Senna,1
Benetton,7,0,,,Alessandro Nannini,3
March,8,0,,,Maurício Gugelmin,4
Dallara,9,0,,,Alex Caffi,11
EuroBrun,10,0,,,Stefano Modena,12
Minardi,11,0,,,Pierluigi Martini,15
Tyrrell,12,0,,,Julian Bailey,16
Ligier,13,0,,,René Arnoux,18
Osella,14,0,,,Nicola Larini,19
