Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Ayrton Senna,2,Alain Prost,1
Ferrari,2,6,Michele Alboreto,4,Gerhard Berger,3
Arrows,3,4,Eddie Cheever,6,Derek Warwick,5
Benetton,4,3,Thierry Boutsen,8,Alessandro Nannini,7
Lola,5,2,,,Yannick Dalmas,9
Ligier,6,1,,,Stefan Johansson,10
Minardi,7,0,,,Luis Pérez-Sala,11
AGS,8,0,,,Philippe Streiff,12
EuroBrun,9,0,,,Oscar Larrauri,13
Coloni,10,0,,,Gabriele Tarquini,14
Zakspeed,11,0,,,Piercarlo Ghinzani,15
March,12,0,,,Ivan Capelli,16
