Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Alain Prost,2,Ayrton Senna,1
Benetton,2,6,Alessandro Nannini,6,Thierry Boutsen,4
Lotus,3,4,Satoru Nakajima,8,Nelson Piquet,3
Arrows,4,3,Derek Warwick,9,Eddie Cheever,7
Minardi,5,2,Adrián Campos,16,Luis Pérez-Sala,11
Lola,6,1,Philippe Alliot,17,Yannick Dalmas,12
Ferrari,7,0,Michele Alboreto,18,Gerhard Berger,5
AGS,8,0,,,Philippe Streiff,10
Williams,9,0,,,Riccardo Patrese,13
Tyrrell,10,0,,,Jonathan Palmer,14
March,11,0,,,Maurício Gugelmin,15
