Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Alain Prost,2,Ayrton Senna,1
Lotus,2,6,Satoru Nakajima,11,Nelson Piquet,4
Benetton,3,4,,,Thierry Boutsen,3
March,4,3,,,Ivan Capelli,5
Tyrrell,5,2,,,Jonathan Palmer,6
Arrows,6,1,,,Derek Warwick,7
Coloni,7,0,,,Gabriele Tarquini,8
Rial,8,0,,,Andrea de Cesaris,9
Lola,9,0,,,Philippe Alliot,10
EuroBrun,10,0,,,Stefano Modena,12
Minardi,11,0,,,Luis Pérez-Sala,13
Zakspeed,12,0,,,Piercarlo Ghinzani,14
