Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Michael Schumacher,2,Rubens Barrichello,1
Sauber,2,6,Nick Heidfeld,7,Felipe Massa,6
Renault,3,4,Jarno Trulli,8,Jenson Button,5
BAR,4,3,Jacques Villeneuve,12,Olivier Panis,9
Arrows,5,2,Heinz-Harald Frentzen,13,Enrique Bernoldi,10
McLaren,6,1,,,Kimi Räikkönen,3
Williams,7,0,,,Ralf Schumacher,4
Jaguar,8,0,,,Pedro de la Rosa,11
Toyota,9,0,,,Allan McNish,14
Minardi,10,0,,,Mark Webber,15
Jordan,11,0,,,Takuma Sato,16
