Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Heinz-Harald Frentzen,5,Jacques Villeneuve,3
McLaren,2,6,Mika Häkkinen,6,David Coulthard,2
Jordan,3,4,Ralf Schumacher,9,Damon Hill,4
Sauber,4,3,Johnny Herbert,10,Jean Alesi,7
Benetton,5,2,Alexander Wurz,16,Giancarlo Fisichella,8
Ferrari,6,1,,,Michael Schumacher,1
Arrows,7,0,,,Pedro Diniz,11
Prost,8,0,,,Olivier Panis,12
Stewart,9,0,,,Jos Verstappen,13
Tyrrell,10,0,,,Toranosuke Takagi,14
Minardi,11,0,,,Shinji Nakano,15
