Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Eddie Irvine,2,Michael Schumacher,1
McLaren,2,6,David Coulthard,6,Mika Häkkinen,3
Sauber,3,4,Johnny Herbert,8,Jean Alesi,7
Benetton,4,3,Giancarlo Fisichella,9,Alexander Wurz,5
Stewart,5,2,Jos Verstappen,12,Rubens Barrichello,10
Arrows,6,1,Pedro Diniz,14,Mika Salo,13
Williams,7,0,Heinz-Harald Frentzen,15,Jacques Villeneuve,4
Prost,8,0,,,Olivier Panis,11
Jordan,9,0,,,Ralf Schumacher,16
Minardi,10,0,,,Shinji Nakano,17
