Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,3,Mika Häkkinen,1
Ferrari,2,6,Eddie Irvine,4,Michael Schumacher,2
Benetton,3,4,Alexander Wurz,7,Giancarlo Fisichella,6
Williams,4,3,Jacques Villeneuve,8,Heinz-Harald Frentzen,5
Stewart,5,2,Jos Verstappen,13,Rubens Barrichello,11
Jordan,6,1,,,Damon Hill,9
Sauber,7,0,,,Jean Alesi,10
Prost,8,0,,,Olivier Panis,12
Arrows,9,0,,,Mika Salo,14
Minardi,10,0,,,Shinji Nakano,15
Tyrrell,11,0,,,Toranosuke Takagi,16
