Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,2,Mika Häkkinen,1
Williams,2,6,Heinz-Harald Frentzen,8,Jacques Villeneuve,6
Sauber,3,4,Jean Alesi,10,Johnny Herbert,7
Stewart,4,3,Jan Magnussen,12,Rubens Barrichello,5
Minardi,5,2,Esteban Tuero,15,Shinji Nakano,14
Prost,6,1,Olivier Panis,16,Jarno Trulli,9
Ferrari,7,0,,,Michael Schumacher,3
Benetton,8,0,,,Alexander Wurz,4
Jordan,9,0,,,Ralf Schumacher,11
Tyrrell,10,0,,,Toranosuke Takagi,13
