Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Eddie Irvine,3,Michael Schumacher,1
McLaren,2,6,David Coulthard,6,Mika Häkkinen,2
Benetton,3,4,Giancarlo Fisichella,7,Alexander Wurz,4
Tyrrell,4,3,Ricardo Rosset,14,Toranosuke Takagi,12
Prost,5,2,Olivier Panis,15,Jarno Trulli,11
Sauber,6,1,,,Jean Alesi,5
Jordan,7,0,,,Damon Hill,8
Williams,8,0,,,Heinz-Harald Frentzen,9
Stewart,9,0,,,Rubens Barrichello,10
Minardi,10,0,,,Shinji Nakano,13
