year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,max-verstappen,Max Verstappen,red-bull,1,71,1,0,1,1760.886436,1768.164284,7.277848,1.0,0.696756,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,pierre-gasly,Pierre Gasly,toro-rosso,2,71,6,0,2,1566.318769,1578.269978,11.951209,0.947368,0.449401,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,carlos-sainz-jr,Carlos Sainz Jr.,mclaren,3,71,20,0,3,1587.325303,1597.33767,10.012368,0.894737,0.477555,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,kimi-raikkonen,Kimi Räikkönen,alfa-romeo,4,71,8,0,4,1657.559106,1664.072952,6.513847,0.842105,0.570695,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,antonio-giovinazzi,Antonio Giovinazzi,alfa-romeo,5,71,12,0,5,1477.023474,1487.976221,10.952747,0.789474,0.333109,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,daniel-ricciardo,Daniel Ricciardo,renault,6,71,11,0,6,1613.685947,1619.062051,5.376103,0.736842,0.512838,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,lewis-hamilton,Lewis Hamilton,mercedes,7,71,3,0,7,1974.600111,1969.803132,-4.796978,0.684211,0.884085,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,lando-norris,Lando Norris,mclaren,8,71,10,0,8,1528.578476,1534.153961,5.575485,0.631579,0.399267,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,sergio-perez,Sergio Pérez,racing-point,9,71,15,0,9,1612.873468,1614.486115,1.612647,0.578947,0.511754,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,daniil-kvyat,Daniil Kvyat,toro-rosso,10,71,16,0,10,1528.714322,1531.759205,3.044883,0.526316,0.399446,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,kevin-magnussen,Kevin Magnussen,haas,11,71,9,0,11,1497.711154,1500.458361,2.747207,0.473684,0.359217,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,george-russell,George Russell,williams,12,71,18,0,12,1446.791128,1449.78476,2.993632,0.421053,0.296318,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,romain-grosjean,Romain Grosjean,haas,13,71,7,0,13,1475.76069,1476.645876,0.885186,0.368421,0.331538,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,alexander-albon,Alexander Albon,red-bull,14,71,5,0,14,1579.339397,1575.714043,-3.625354,0.315789,0.466846,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,nico-hulkenberg,Nico Hülkenberg,renault,15,71,13,0,15,1556.116145,1551.973527,-4.142617,0.263158,0.435767,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,robert-kubica,Robert Kubica,williams,16,70,19,0,16,1509.495382,1505.563108,-3.932274,0.210526,0.374371,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,sebastian-vettel,Sebastian Vettel,ferrari,17,65,2,0,17,1833.321112,1818.575365,-14.745747,0.157895,0.772301,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,charles-leclerc,Charles Leclerc,ferrari,18,65,14,0,18,1656.705553,1645.561802,-11.143751,0.105263,0.569586,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,lance-stroll,Lance Stroll,racing-point,19,65,17,0,19,1508.423987,1500.735487,-7.6885,0.052632,0.372986,24.0,20
2019,20,2019-11-17,brazil,Formula 1 Heineken Grande Prêmio do Brasil 2019,valtteri-bottas,Valtteri Bottas,mercedes,DNF,51,4,1,20,1848.050839,1829.182897,-18.867942,0.0,0.786164,24.0,20
