Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,4,Fernando Alonso,3
Mercedes,2,6,Nico Rosberg,7,Michael Schumacher,6
Sauber,3,4,Kamui Kobayashi,9,Sergio Pérez,2
Williams,4,3,Pastor Maldonado,11,Bruno Senna,10
Lotus,5,2,Jérôme d'Ambrosio,13,Kimi Räikkönen,5
Caterham,6,1,Vitaly Petrov,15,Heikki Kovalainen,14
Marussia,7,0,Timo Glock,17,Charles Pic,16
HRT,8,0,Narain Karthikeyan,19,Pedro de la Rosa,18
Force India,9,0,Nico Hülkenberg,21,Paul di Resta,8
Red Bull,10,0,Sebastian Vettel,22,Mark Webber,20
McLaren,11,0,,,Lewis Hamilton,1
Toro Rosso,12,0,,,Daniel Ricciardo,12
