Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,4,Mark Webber,1
Ferrari,2,6,Felipe Massa,6,Fernando Alonso,3
Force India,3,4,Nico Hülkenberg,8,Paul di Resta,7
McLaren,4,3,Jenson Button,16,Lewis Hamilton,5
Mercedes,5,2,,,Nico Rosberg,2
Lotus,6,1,,,Kimi Räikkönen,9
Williams,7,0,,,Bruno Senna,10
Sauber,8,0,,,Sergio Pérez,11
Toro Rosso,9,0,,,Jean-Éric Vergne,12
Caterham,10,0,,,Heikki Kovalainen,13
Marussia,11,0,,,Timo Glock,14
HRT,12,0,,,Narain Karthikeyan,15
