Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,1
McLaren,2,6,Jenson Button,5,Lewis Hamilton,4
Ferrari,3,4,Felipe Massa,6,Fernando Alonso,2
Lotus,4,3,Romain Grosjean,9,Kimi Räikkönen,7
Force India,5,2,Paul di Resta,12,Nico Hülkenberg,8
Toro Rosso,6,1,Jean-Éric Vergne,15,Daniel Ricciardo,13
Williams,7,0,Pastor Maldonado,16,Bruno Senna,10
Caterham,8,0,Heikki Kovalainen,18,Vitaly Petrov,17
Marussia,9,0,Timo Glock,20,Charles Pic,19
Mercedes,10,0,Michael Schumacher,22,Nico Rosberg,11
Sauber,11,0,,,Kamui Kobayashi,14
HRT,12,0,,,Narain Karthikeyan,21
