Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Romain Grosjean,4,Kimi Räikkönen,3
McLaren,2,6,Jenson Button,9,Lewis Hamilton,8
Red Bull,3,4,Mark Webber,11,Sebastian Vettel,6
Toro Rosso,4,3,Daniel Ricciardo,13,Jean-Éric Vergne,12
Force India,5,2,Paul di Resta,14,Nico Hülkenberg,10
Ferrari,6,1,Felipe Massa,15,Fernando Alonso,2
Caterham,7,0,Vitaly Petrov,17,Heikki Kovalainen,16
Williams,8,0,,,Pastor Maldonado,1
Sauber,9,0,,,Kamui Kobayashi,5
Mercedes,10,0,,,Nico Rosberg,7
Marussia,11,0,,,Timo Glock,18
HRT,12,0,,,Pedro de la Rosa,19
