Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Sauber,1,9,Sergio Pérez,6,Kamui Kobayashi,4
Red Bull,2,6,Mark Webber,8,Sebastian Vettel,5
Mercedes,3,4,Nico Rosberg,10,Michael Schumacher,7
Force India,4,3,Paul di Resta,11,Nico Hülkenberg,9
Ferrari,5,2,Felipe Massa,12,Fernando Alonso,1
Toro Rosso,6,1,Jean-Éric Vergne,14,Daniel Ricciardo,13
Williams,7,0,Bruno Senna,17,Pastor Maldonado,15
Lotus,8,0,Romain Grosjean,18,Kimi Räikkönen,3
Caterham,9,0,Heikki Kovalainen,19,Vitaly Petrov,16
Marussia,10,0,Timo Glock,22,Charles Pic,20
HRT,11,0,Narain Karthikeyan,23,Pedro de la Rosa,21
McLaren,12,0,,,Jenson Button,2
