Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,7,Fernando Alonso,2
Williams,2,6,Bruno Senna,8,Pastor Maldonado,5
Toro Rosso,3,4,Jean-Éric Vergne,12,Daniel Ricciardo,10
Sauber,4,3,Sergio Pérez,15,Kamui Kobayashi,6
Caterham,5,2,Vitaly Petrov,16,Heikki Kovalainen,13
Lotus,6,1,,,Kimi Räikkönen,1
Red Bull,7,0,,,Sebastian Vettel,3
McLaren,8,0,,,Jenson Button,4
Force India,9,0,,,Paul di Resta,9
Mercedes,10,0,,,Michael Schumacher,11
Marussia,11,0,,,Timo Glock,14
HRT,12,0,,,Pedro de la Rosa,17
