Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,3,Jenson Button,2
Red Bull,2,6,Sebastian Vettel,5,Mark Webber,4
Williams,3,4,Pastor Maldonado,8,Bruno Senna,7
Sauber,4,3,Sergio Pérez,11,Kamui Kobayashi,10
Ferrari,5,2,Felipe Massa,13,Fernando Alonso,9
Lotus,6,1,Kimi Räikkönen,14,Romain Grosjean,6
Force India,7,0,Nico Hülkenberg,15,Paul di Resta,12
Toro Rosso,8,0,Daniel Ricciardo,17,Jean-Éric Vergne,16
Marussia,9,0,Charles Pic,20,Timo Glock,19
HRT,10,0,Narain Karthikeyan,22,Pedro de la Rosa,21
Caterham,11,0,Heikki Kovalainen,23,Vitaly Petrov,18
Mercedes,12,0,,,Nico Rosberg,1
