Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,3,Jenson Button,1
Red Bull,2,6,Mark Webber,4,Sebastian Vettel,2
Sauber,3,4,Sergio Pérez,8,Kamui Kobayashi,6
Toro Rosso,4,3,Jean-Éric Vergne,11,Daniel Ricciardo,9
Marussia,5,2,Charles Pic,15,Timo Glock,14
Williams,6,1,Bruno Senna,16,Pastor Maldonado,13
Ferrari,7,0,,,Fernando Alonso,5
Lotus,8,0,,,Kimi Räikkönen,7
Force India,9,0,,,Paul di Resta,10
Mercedes,10,0,,,Nico Rosberg,12
