Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Ferrari,2,6,Felipe Massa,4,Fernando Alonso,3
Lotus,3,4,Romain Grosjean,7,Kimi Räikkönen,5
Toro Rosso,4,3,Daniel Ricciardo,9,Jean-Éric Vergne,8
Force India,5,2,Paul di Resta,12,Nico Hülkenberg,6
Williams,6,1,Bruno Senna,15,Pastor Maldonado,14
Caterham,7,0,Heikki Kovalainen,17,Vitaly Petrov,16
Marussia,8,0,Charles Pic,19,Timo Glock,18
McLaren,9,0,,,Lewis Hamilton,10
Sauber,10,0,,,Sergio Pérez,11
Mercedes,11,0,,,Michael Schumacher,13
HRT,12,0,,,Narain Karthikeyan,20
